statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
Maryland,1,2,2,not again not again not again,1,79,painless refreshing necessary,ok,imcome tax,1,income medicare social security,0,1,i am not sure where my goes,welfare welfare welfare welfare,no,86,welfare,3,,3,,6,NA,3,1,0,1,NA,3,4,2,2,6,1,1,21,8,1,10,0.631671616
Nevada,1,2,4,i wonder how much mey wathore ,1,40,when i went to the store today,not so good sometimes when all are not paying,property,1,social security medicare fed withhold,0,one,schools roads police f and iremen military,all the extravengent things the govt does,i guessI in  all estnoh yes,87,obamba vacationd,3,,1,it helps,6,4,2,1,5,1,2,2,4,1,2,1,1,1,29,20,1,14,0.460739774
Minnesota,2,6,5,paying too much for waste,1,61,federal tax at the april deadline,i am being screwed,,0,,4,0,military protecting the country,waste on all levels that benefit the few and the powerful and lazy sods who live off the system,not mcuh too high still,98,everything the fed does is wasteful,1,not much still too hgih,2,needs to be better,1,6,2,1,12,1,2,5,4,1,1,3,1,1,24,41,1,17,2.96832296
Kansas,2,2,4,government   takes too much money   no matter what we are taxed it is never enough  unfair to most people,1,70,buying groceries today I paid 12.00 in sales tax,like we are being taken advantage of,property,1,FiCA   Social Security  State ,0,husband,streets  schools  firefighters  police,too much government and too many tax breaks for the rich and the rich businesses,My children were educated we have paved roads with traffic signs and stop lights we have police and firemen,60,too much mooney being spent on the military  and being involved in wars that we should not be in,2,I think it lowered a little bit what our taxable income would be,3,,2,4,3,1,60,1,2,4,4,1,2,1,1,1,17,26,1,13,0.631508565
New York,2,6,1,income taxes on individual people,2,50,"sales tax, regularly, on purchases and gasoline","fine, like you are part of what makes the country work","income tax, for all members",1,"federal income tax, state income tax, social security payments, medicare payment, state disability payments",0,0,"medicare and medicaid, food stamps, infrastructure, medical research, public radio and television","so many benefits, overtime and pensions for employees and retirees","I have received services from the state, such as Medicaid",40,nothing in particular,3,,2,these are pretty good ideas to help people,8,2,2,1,75,1,2,2,3,2,1,3,5,4,33,22,1,NA,0.516452651
Georgia,1,5,1,People and corporation share of getting things done roads bridges,1,90,This morning when I bought coffee,I'm proud. I making America better,less than 10%,1,FICA / STATE / FEDRAL,0,0,Education and infrastructure,It upsets me that big corporations get around paying their fair share and receive millions in tax cuts,Yes every time I drive to work and the roads  are not crumbling,40,Sinceless wars,1,It gives me money back,1,It's necessary because it puts money back in the system people buy products with that extra money,1,2,1,1,19,1,1,4,4,2,1,3,5,1,11,38,2,11,2.016927406
Ohio,2,3,1,A burden on my budget...goes to fix roads and  probably line pockets,2,70,I paid taxes the last time I had a job,"It feels like paying taxes, I dont kow what this means",It makes up none becasue I dont have a job,1,"fico, state, local, federal",1,0,roads schools really 25 words for this? i dont know,I have no idea....lining politicians pockets,no not really roads are awful school budgets are cut,83,political ads,1,gives us inocme,4,,4,3,3,1,0,1,4,3,NA,1,4,6,5,3,36,39,1,1,0.782012106
Florida,1,2,3,government regulations and taxation,1,70,"every day whenever you purchase anything, and on every type of utility bill you pay",pointless,"retail taxes and surcharges, and recovery fees",1,"fica, social security, etc.",0,0,"infrastructure, education, aid to the poor, environmental protection, alternative fuels and research","Government waste and BS, including what is referred to as pork barrel spending, and pet projects","no not at all, in no way shape or form, and only hope to live a little longer so I can collect at least a little social security that has been paid ahead all of my working life",80,republicans and everything they stand for,4,,2,I'm not sure,2,4,3,1,19,1,2,2,4,2,1,6,1,3,10,21,1,6,0.432154266
Connecticut,2,2,4,Internal   Revenue  Service,1,90,Filed federal return tax in 2013,No opinion,state property tax,1,federal   / state,0,0,United states milatery service,I am not upset about anything ,I have no comment or opinion,100,I have no comment or opinion,3,,3,,2,4,4,1,19,1,4,3,4,1,1,6,3,3,7,32,1,NA,0.516452651
Missouri,2,3,1,mandatory fees to help government programs voted for by the people,1,70,Everytime I pay for something I pay taxes.,"Sometimes you feel you are helping, sometimes you feel cheated and lied to.",I'm not sure.,1,I'm on disability so I have forgotten what all that looked like. Sorry.,0,Just me and my husband. Someone else does our paperwork.,well they should pay for schools,do they pay for prisons as well?,I'm not sure. But it may be a way to save a little money for something you want to buy come income tax time.,20,Well I know they are not wasting envelopes because they never send you one to send back an application form they sent you. ,3,,3,,9,2,3,1,80,2,2,4,4,4,4,6,1,3,26,42,1,2,0.782012106
California,2,3,2,"income tax, sales tax. issue that people are sensitive about. misappropriated",1,100,"today, in the store, I paid sales tax on a personal item I purchased. it was assessed at 8%",it is just something that we are born with a burden of. it would feel better if we knew our money was being spent properly and from the funds the taxes are generated toward,probably sales tax,1,"federal tax, state tax, local tax, FICA ",3,no,"roads, infrastructure, education, military","a certain portion of welfare, I think SSI is misallocated in the respect that everybody is entitled to a payout regardless of income.  /  / I also don't like when a specific tax is created (ex. gas tax for road improvements) and then the roads are in terrible repair. ","yes, there are benefits, however, we tend to focus on the negatives and misallocations of funds and take for granted the fact that we have public education, freeway systems, construction and upgrades. ",50,"embezzlement, special favors, taking advantage, using funds from one fund to do something else with although not intended for that purpose",1,it reduces our tax liability,1,I think it is a necessary form of supplemental income and is a more useful credit than just doing welfare or some other programs that are for low income earners. ,1,4,1,1,30,2,2,3,4,1,4,1,1,1,5,47,1,13,0.84202368
Florida,2,3,1,money that I have to pay to keep the things running ...,1,64,"I am retired, but I paid Federal taxes in 2013. I also pay taxes on telephone, electric, etc.",Better than the alternative.,Real estate taxes.,1,"Federal  tax, FICA, state tax (when I lived in MA, there is no state in FL)",0,no,"Police, fire fighters, infastructure, roads, etc.","Waste, waste, waste. Also some milatary spending is over the top.",The taxes keep the gov. running & pay for all sorts of things. I benefit by being alive to enjoy these things!,29,$600 toilet seats.,3,,3,,6,2,1,1,40,1,3,3,4,2,1,3,3,1,10,11,1,8,0.631671616
Ohio,2,3,1,"goverment implements to help counties,communities",1,81,august is the last time I paid anykind of taxes and shoping more recent,proud,real estate,1,Do not work anymore,0,no,"roads,schools,horticulture ",no I can not be upset about how they are used,questinable,60,modernization,2,more returned,4,,6,2,2,1,81,1,2,2,2,1,1,1,5,1,36,29,1,3,0.427902551
Connecticut,1,2,4,nacvncvnfdjnfmnxvn fxnfgfgnfg fgx gfrsnfxgnfsgnfsgnfgnfsgnft,1,38,x xc x x x bxcb xcb x x dx x x xc xcf xc xcv cxv ,iugiugghgghjgouigiuguihgukhpiuoyo8py98pokulgkjgkjutiutgh,nvvhvhvnv,1,dthnddfhndf,1,0,nsaggughukgyuyfdsflkhjnjhfyrfjhnkjkgfjyghjgb,dndnfgnfvb vc fcnvc nfgndfnfdnfgnsfdnsdfns,na,28,nf,1,ns,2,nas,1,4,2,1,25,1,2,2,2,2,2,2,5,1,7,33,1,13,0.503497879
Virginia,2,5,1,money out of paycheck and not going to the right programs,1,20,"In Virginia, there is property tax on vehicles and I just got the bill","if it went to the right programs, I don't mind. When I see it being wasted, very irritating.",outside of house bills it would be grocery budget,1,"FIFA, Federal, State, Social Security",2,no,"social security, medicare, medical care for children, programs for disabled, children, elderly, low income",goes to senate and congress and foreign countries,"Not thus far.  Hopefully, when I'm old enough to retire",40,giving money to other countries and the money paid to senate and congress,1,We didn't pay in that year,1,low income and day care of children,8,1,2,1,40,1,4,2,1,4,4,6,1,1,47,36,1,14,0.506566333
Florida,2,5,7,MONEY THAT WE HAVE TO SEND TO THE GOVERNMENT SO THAT THEY CAN INCOME PROGRAMS AND PROJECTS THAT ARE BENEFICIAL TO THE US,1,80,when I shopped for clothes just yesterday,Proud to be an American but we are so over taxed cant survive,FEDERAL TAX,1,FEDERAL TAX AND MEDICARE TAX ,1,1,Roads and reforms that I can particpate in Programs that I use and just feel that Medicare is an important program,obama personal trips and all his extra help that we pay for disquists me,I hope that someday I can enjoy medicare and enjoy the safe roads that i drive on ,61,all the trips that the president takes and all the wasted money on space programs,1,It lowers the total tax liability for me ,1,it helps me cut my tax liability and helps my household have more discretaionary income to spend on the needed items in my household makes it easier to make it thoughout the month,2,7,1,1,20,1,2,2,1,2,1,3,3,1,10,29,1,9,0.432154266
North Carolina,2,2,4,uncle sam wanting your money for unessary reasons ,2,40,I had a job as a waitstaff,like you are working for nothing ,income,1,state and federal,2,,nothing I think it is a ll wasted ,other countries help and support,no,80,road construciton ,1,helps us repair our home,3,,8,5,3,1,62,2,3,2,4,3,4,6,1,1,34,54,1,5,0.627293163
Florida,2,3,1,"Taxes is something I really have very little to say. Between our federal and state government always findimg some thing needs to be funded, or needs fixing. We the people land up paying for it. ",1,85,Today  November 6th at the grocery store..,Not to sure. At times I feel we're being taxed to much. ,Federal tax and several other. ,1,"FICC, Federal.",0,No,"Our services man & woman, police and fire fighters. ",This is not a good question for me. ,No I do not feel I have benefit to date.,92,Salaries. Helping other countreies when we're in need of helping ourselves.,3,,4,,4,4,2,1,55,1,2,3,4,2,1,6,2,3,10,28,1,11,0.432154266
New York,2,3,2,pay money to the government that belongs to you,2,40,"Over 5 years ago, I have a job for 1 month only.","bad, I feel they are stealing from you in a ""nice way""",The cleaning products and furniture.,1,"social security, federal taxes, state taxes, fica, ",0,2,social security and helping poor and old people. ,When the government use it for war.,When they give money back.,95,"the politician using money for their own use and amuse. Also, with the offices that they do not do anything for the community and they still in existence.",1,Pay you when you have minor children going to school.,3,,4,6,3,1,21,1,4,3,4,1,4,6,5,3,33,32,3,NA,1.318904573
Illinois,2,2,4,money either in or out of my pocket,1,91,"bought a car, bought grocery,","On one hand I understand why we have to pay taxes and on the other hand, I feel like screaming sometimes",when we shop for anything,0,,1,0,We play catch up on the bills and go out to eat at our favorite restuarant,"nothing that i can think of.  What upsets me is when I don't get the earned income and wouldn't be able to play catch up?   We don't live beyond our means  ,but having two car loans because of a drunk driver.  I know that will be off by then ,but will something take it's place","yes, because we have always got a refund",40,dumb and useless science experment.  The scientist should be working on a cure for cancer instead of planting things in animal's heads,1,"It gives me more money which I am glad ,but what scares me is when I don't get this earned income anymore.  We call tax time ""catch up with our bills.""",1,I love it,1,4,4,2,65,2,3,4,4,4,4,6,2,3,14,25,1,10,0.538743107
